time,ax,ay,az (m/s^2),aT (m/s^2)
1.727966,1.2102,-1.9840,-1.9927,3.061
1.733002,0.5103,-1.8645,-2.2932,2.999
1.748665,0.0715,-1.1193,-1.5202,1.889
1.749271,-0.2529,-0.5729,-1.5308,1.654
1.749446,-0.1937,-0.1005,-1.7067,1.721
1.752462,0.2477,0.2383,-1.1292,1.180
1.761241,0.8192,0.6368,-0.0982,1.042
1.762177,1.6322,1.1826,-0.9454,2.226
1.768805,2.5138,2.0512,-1.5954,3.615
1.774472,3.2340,3.1060,-2.2350,5.010
1.778833,3.7641,3.9459,-2.9637,6.207
1.786102,3.9850,4.4102,-3.4319,6.864
1.797935,3.8087,4.4498,-3.6983,6.927
1.798697,3.6621,4.0626,-3.7259,6.618
1.799114,3.8049,3.0524,-4.3787,6.555
1.805112,4.1585,2.0222,-5.1204,6.899
1.834124,4.3580,0.8585,-6.3572,7.755
1.834734,4.4166,-1.0818,-6.4368,7.881
1.835097,4.1111,-2.7782,-4.6073,6.771
1.835446,3.8492,-3.5099,-3.1171,6.071
1.835801,3.6032,-3.5757,-1.2320,5.224
1.836154,3.1155,-3.5214,0.5267,4.731
1.836406,2.2151,-3.5755,1.7005,4.537
1.839434,1.0781,-3.6512,3.3657,5.082
1.844489,-0.1447,-3.6545,4.8531,6.077
1.848849,-1.2072,-3.7587,4.6716,6.116
1.862179,-2.1325,-3.9424,3.5629,5.726
1.863105,-3.1642,-4.0257,2.2570,5.596
1.863768,-4.0223,-4.0725,0.8127,5.781
1.875066,-4.3772,-4.2946,-0.8527,6.191
1.875838,-4.5795,-4.6435,-2.6787,7.050
1.877821,-4.3535,-3.9169,-4.3155,7.275
1.882875,-4.3172,-3.8453,-5.5379,8.006
1.887651,-4.8504,-4.1997,-6.7827,9.336
1.892385,-4.4079,-3.2049,-6.3623,8.377
1.897313,-3.1419,-1.7112,-7.5820,8.384
1.902507,-1.8315,-1.0822,-7.7683,8.054
1.906968,-0.3808,-1.6684,-6.2339,6.464
1.912176,0.8127,-2.4671,-5.6310,6.201
1.917243,1.3901,-2.5964,-5.6919,6.409
1.921633,1.2805,-1.7524,-5.6775,6.078
1.926242,0.9078,-0.4095,-5.3397,5.432
1.931660,0.6745,0.6560,-4.2746,4.377
1.936310,2.1946,2.8154,-2.9117,4.607
1.941065,3.9935,4.1202,-2.1088,6.113
1.946111,4.5386,3.6030,-2.1327,6.175
1.951128,3.9122,1.3594,-1.4357,4.383
1.955710,2.0672,-1.7942,0.3911,2.765
1.960470,-0.1102,-4.5241,1.4886,4.764
1.965881,-2.2553,-6.2228,2.2116,6.979
1.970154,-3.7577,-6.4078,2.5769,7.863
1.975202,-4.8760,-5.6920,3.1063,8.113
1.979753,-5.5089,-5.8320,4.0729,8.997
1.984774,-5.5776,-5.3130,4.4408,8.891
1.990245,-4.8888,-4.1349,5.1773,8.234
1.994087,-3.4151,-2.8535,5.2529,6.885
1.998895,-2.1494,-2.2725,5.1430,6.020
2.005301,-1.2458,-2.8662,4.4135,5.408
2.008467,-0.2278,-2.9229,4.0399,4.992
2.014056,0.7247,-2.7436,4.0647,4.957
2.026593,1.2133,-2.9519,3.7072,4.892
2.027539,0.8447,-3.7978,3.4337,5.189
2.028142,-0.3954,-4.9851,3.5478,6.131
2.032951,-1.8541,-5.6924,4.1142,7.264
2.037660,-3.0794,-5.8288,4.2772,7.858
2.042645,-4.3885,-6.2259,4.1664,8.682
2.047391,-5.8015,-6.5820,3.9088,9.605
2.052363,-7.0356,-7.1128,3.2627,10.523
2.056961,-7.6806,-7.7652,2.5718,11.221
2.061980,-7.2667,-7.2336,2.0127,10.449
2.066635,-6.2533,-5.9062,1.4883,8.729
2.071674,-5.9377,-5.6394,0.7590,8.224
2.076357,-4.7354,-4.4157,1.1692,6.579
2.081192,-2.7263,-3.0188,1.1452,4.226
2.085971,-0.5958,-1.6525,0.9103,1.978
2.091079,1.3831,-0.5091,1.0542,1.812
2.095667,3.3902,0.3627,1.3093,3.652
2.100715,4.9958,0.8460,1.4491,5.270
2.105812,5.7897,1.1620,1.8681,6.194
2.110285,5.5076,2.4243,3.1739,6.803
2.115263,5.0555,3.6053,3.3175,7.040
2.119891,4.4677,4.2595,3.1773,6.943
2.124831,3.9668,4.8283,2.8021,6.848
2.129876,3.2951,5.2653,1.9080,6.498
2.136170,2.7826,5.9961,-0.4858,6.628
2.141488,3.1786,6.6839,-4.1523,8.486
2.144878,4.3206,7.3133,-7.1635,11.112
2.153019,5.6338,7.4404,-9.6167,13.401
2.154275,6.4877,7.0849,-10.8543,14.495
2.158450,6.4731,6.5589,-10.3953,13.892
2.163359,6.0500,6.1025,-9.0394,12.472
2.168179,5.4606,5.5325,-7.6056,10.875
2.172915,4.6729,4.7667,-6.5660,9.363
2.177820,3.6529,3.6805,-5.6612,7.677
2.182584,2.6732,2.3719,-4.6583,5.871
2.187522,1.6125,1.1071,-4.2076,4.640
2.192547,0.4764,-0.1875,-4.0050,4.038
2.197096,-0.6927,-1.2453,-3.5693,3.843
2.201943,-1.1799,-1.2326,-2.9174,3.380
2.212478,-2.1763,-1.9703,-2.2158,3.678
2.213370,-3.0093,-2.4248,-1.6290,4.194
2.221088,-3.6995,-2.5549,-1.7438,4.822
2.221826,-2.7961,-2.0917,-2.9571,4.576
2.226158,-2.6390,-1.6498,-4.3416,5.342
2.230929,-0.6457,-0.5528,-4.6834,4.760
2.235862,1.4845,0.6611,-4.8894,5.152
2.241171,3.0867,1.6569,-5.4531,6.481
2.245635,2.4734,1.8917,-4.5258,5.494
2.260147,1.9667,1.6613,-2.8986,3.877
2.261223,4.2513,1.9668,-1.3384,4.872
2.262552,6.8072,2.2423,-0.3839,7.177
2.268244,7.5500,2.9391,-0.1249,8.103
2.273078,6.4566,3.1867,0.9583,7.264
2.274459,4.5401,2.8570,0.6811,5.407
2.284025,1.6581,1.9136,-1.2750,2.835
2.284588,0.7730,0.7601,-1.6286,1.956
2.289687,0.0737,0.3102,-1.5809,1.613
2.295344,0.0589,-2.2027,1.5159,2.675
2.298848,1.1612,-17.6075,18.0985,25.277
2.303883,0.1534,-8.6256,11.6265,14.478
2.308688,0.5416,-1.9952,2.8078,3.487
2.315357,1.1334,1.1093,-5.4016,5.630
2.317980,3.8214,0.1357,-8.3472,9.181
2.323659,4.0382,-0.9560,-4.0822,5.821
2.327702,1.5167,-0.7575,0.8523,1.898
2.332437,-1.3531,0.4769,1.9749,2.441
2.337429,-6.4945,0.4933,2.8562,7.112
2.342276,-6.9125,0.1832,1.3832,7.052
2.347067,-6.0202,-0.8106,-1.0742,6.169
2.351991,-4.5664,-1.7667,-3.1899,5.844
2.356708,-3.1666,-2.6400,-4.4210,6.045
2.361477,-2.9011,-3.0624,-3.9658,5.790
2.366847,-2.5699,-3.0759,-2.8821,4.937
2.371119,-2.6281,-2.8660,-2.3296,4.533
2.375954,-1.8916,-2.5890,-0.0990,3.208
2.381236,0.6621,-1.4496,2.6413,3.085
2.385676,2.4194,-0.5101,4.3872,5.036
2.390478,3.2077,0.4036,4.7735,5.765
2.395778,3.1117,0.6369,3.5924,4.795
2.400310,4.8876,0.5660,2.0557,5.332
2.405890,5.4119,0.5684,1.5885,5.669
2.410171,4.7578,1.0421,2.3314,5.400
2.414575,4.5850,1.2508,2.6518,5.442
2.420527,3.8854,0.3355,2.8040,4.803
2.425414,3.0751,-0.9653,3.0035,4.406
2.432574,2.0066,-2.2270,2.5070,3.908
2.451032,0.2146,-2.3839,2.7922,3.678
2.451428,-0.8226,-1.6596,1.3017,2.264
2.452645,0.2883,-1.4834,-0.6747,1.655
2.461385,1.4440,-0.8817,-0.2264,1.707
2.461780,3.5476,-0.1343,-1.8354,3.996
2.464427,0.5732,1.2881,-1.8801,2.350
2.471752,-1.3172,3.0438,-2.5776,4.200
2.472484,-7.6722,3.7471,-9.1759,12.534
2.474093,-11.6502,2.4669,-2.9146,12.260
2.479045,-0.8448,2.7525,1.0913,3.079
2.482690,7.3338,2.1882,4.1188,8.691
2.487147,7.5448,1.9888,4.3411,8.929
2.492045,3.0999,2.3835,1.0342,4.045
2.496984,0.9094,2.6097,0.1248,2.766
2.501653,1.5308,1.6918,-0.5927,2.357
2.506628,1.2231,1.2386,-0.9535,1.985
2.512715,0.7447,1.4381,-0.4629,1.684
2.516622,1.5451,1.8427,-1.8596,3.040
2.521340,0.2218,3.9541,-0.8304,4.046
2.526075,0.4274,5.7191,-0.7540,5.784
2.530649,1.3216,7.1706,0.2242,7.295
2.535593,2.6527,9.0437,1.2306,9.505
2.540872,2.0767,8.7161,-0.2442,8.963
2.545286,0.5523,7.4858,-1.1861,7.599
2.550165,-0.4919,6.1745,-1.9068,6.481
2.556337,-0.8314,5.6462,-0.0486,5.707
2.560147,-1.1764,4.6630,-0.9612,4.904
2.564612,4.7327,-7.8894,8.9776,12.855
2.570043,1.2741,-22.8122,6.8948,23.865
2.574223,-8.0664,-21.1095,-4.7540,23.093
2.579277,-7.6409,-15.1376,-2.6036,17.155
2.584095,-6.3968,-6.9480,-0.9422,9.491
2.588797,-1.8667,-1.9470,-1.3539,3.018
2.593653,0.9930,-0.1873,-0.6817,1.219
2.598634,1.2685,-0.7877,-0.0368,1.494
2.603382,1.2400,-1.7246,0.2636,2.140
